dataset,encoder_name,match_score,recall,precision,f1
Amphibian,lm__thenlper/gte-large,0.8,0.5021533161068045,0.9847972972972973,0.6651454649172847
Amphibian,lm__thenlper/gte-large,0.7,0.5279931093884582,0.9231927710843374,0.6717808219178082
Amphibian,lm__thenlper/gte-large,0.6,0.6434108527131783,0.748496993987976,0.6919870310328856
Amphibian,lm__thenlper/gte-large,0.5,0.6520241171403962,0.6520241171403962,0.6520241171403962
Amphibian,lm__thenlper/gte-large,0.4,0.6520241171403962,0.6520241171403962,0.6520241171403962
Amphibian,lm__thenlper/gte-large,0.3,0.6520241171403962,0.6520241171403962,0.6520241171403962
Amphibian,lm__thenlper/gte-base,0.9,0.4797588285960379,0.9875886524822695,0.6457971014492754
Amphibian,lm__thenlper/gte-base,0.8,0.5012919896640827,0.9814502529510961,0.6636259977194983
Amphibian,lm__thenlper/gte-base,0.7,0.5176571920757967,0.9119878603945372,0.6604395604395604
Amphibian,lm__thenlper/gte-base,0.6,0.6201550387596899,0.7164179104477612,0.6648199445983378
Amphibian,lm__thenlper/gte-base,0.5,0.632213608957795,0.632213608957795,0.632213608957795
Amphibian,lm__thenlper/gte-base,0.4,0.632213608957795,0.632213608957795,0.632213608957795
Amphibian,lm__thenlper/gte-base,0.3,0.632213608957795,0.632213608957795,0.632213608957795
Amphibian,lm__intfloat/e5-large-v2,0.9,0.4806201550387597,0.9876106194690265,0.6465816917728853
Amphibian,lm__intfloat/e5-large-v2,0.8,0.49956933677863913,0.9797297297297297,0.6617227609811752
Amphibian,lm__intfloat/e5-large-v2,0.7,0.5150732127476314,0.8794117647058823,0.6496469310157523
Amphibian,lm__intfloat/e5-large-v2,0.6,0.5943152454780362,0.677134445534838,0.6330275229357798
Amphibian,lm__intfloat/e5-large-v2,0.5,0.6089577950043066,0.6089577950043066,0.6089577950043066
Amphibian,lm__intfloat/e5-large-v2,0.4,0.6089577950043066,0.6089577950043066,0.6089577950043066
Amphibian,lm__intfloat/e5-large-v2,0.3,0.6089577950043066,0.6089577950043066,0.6089577950043066
Amphibian,lm__BAAI/bge-small-en-v1.5,0.9,0.4788975021533161,0.9875666074600356,0.6450116009280743
Amphibian,lm__BAAI/bge-small-en-v1.5,0.8,0.4926787252368648,0.9811320754716981,0.6559633027522936
Amphibian,lm__BAAI/bge-small-en-v1.5,0.7,0.5142118863049095,0.8870728083209509,0.6510359869138496
Amphibian,lm__BAAI/bge-small-en-v1.5,0.6,0.5960378983634798,0.7097435897435898,0.6479400749063671
Amphibian,lm__BAAI/bge-small-en-v1.5,0.5,0.615848406546081,0.615848406546081,0.615848406546081
Amphibian,lm__BAAI/bge-small-en-v1.5,0.4,0.615848406546081,0.615848406546081,0.615848406546081
Amphibian,lm__BAAI/bge-small-en-v1.5,0.3,0.615848406546081,0.615848406546081,0.615848406546081
Amphibian,lm__intfloat/e5-base-v2,0.9,0.48234280792420325,0.9876543209876543,0.6481481481481481
Amphibian,lm__intfloat/e5-base-v2,0.8,0.49870801033591733,0.9796954314720813,0.660958904109589
Amphibian,lm__intfloat/e5-base-v2,0.7,0.5167958656330749,0.8784773060029283,0.6507592190889371
Amphibian,lm__intfloat/e5-base-v2,0.6,0.5831180017226529,0.6604878048780488,0.6193961573650503
Amphibian,lm__intfloat/e5-base-v2,0.5,0.5986218776916451,0.5986218776916451,0.5986218776916451
Amphibian,lm__intfloat/e5-base-v2,0.4,0.5986218776916451,0.5986218776916451,0.5986218776916451
Amphibian,lm__intfloat/e5-base-v2,0.3,0.5986218776916451,0.5986218776916451,0.5986218776916451
Amphibian,lm__intfloat/e5-large,0.9,0.4806201550387597,0.9876106194690265,0.6465816917728853
Amphibian,lm__intfloat/e5-large,0.8,0.49956933677863913,0.9863945578231292,0.6632361349342482
Amphibian,lm__intfloat/e5-large,0.7,0.5133505598621878,0.9254658385093167,0.660387811634349
Amphibian,lm__intfloat/e5-large,0.6,0.5874246339362619,0.7126436781609196,0.6440037771482531
Amphibian,lm__intfloat/e5-large,0.5,0.6106804478897502,0.6106804478897502,0.6106804478897502
Amphibian,lm__intfloat/e5-large,0.4,0.6106804478897502,0.6106804478897502,0.6106804478897502
Amphibian,lm__intfloat/e5-large,0.3,0.6106804478897502,0.6106804478897502,0.6106804478897502
Amphibian,lm__intfloat/e5-base,0.9,0.4806201550387597,0.9876106194690265,0.6465816917728853
Amphibian,lm__intfloat/e5-base,0.8,0.49698535745047373,0.984641638225256,0.6605609616485404
Amphibian,lm__intfloat/e5-base,0.7,0.5167958656330749,0.8995502248875562,0.6564551422319475
Amphibian,lm__intfloat/e5-base,0.6,0.5943152454780362,0.6872509960159362,0.6374133949191686
Amphibian,lm__intfloat/e5-base,0.5,0.6098191214470284,0.6098191214470284,0.6098191214470284
Amphibian,lm__intfloat/e5-base,0.4,0.6098191214470284,0.6098191214470284,0.6098191214470284
Amphibian,lm__intfloat/e5-base,0.3,0.6098191214470284,0.6098191214470284,0.6098191214470284
Amphibian,lm__intfloat/e5-small-v2,0.9,0.4797588285960379,0.9875886524822695,0.6457971014492754
Amphibian,lm__intfloat/e5-small-v2,0.8,0.48578811369509045,0.9808695652173913,0.6497695852534562
Amphibian,lm__intfloat/e5-small-v2,0.7,0.5004306632213609,0.8803030303030303,0.6381109280615047
Amphibian,lm__intfloat/e5-small-v2,0.6,0.5572782084409992,0.6697722567287785,0.6083685942642221
